id,numero_recolecta,nombre_cientifico,nombre_comun,habitat,datos_morfologicos,epoca_floracion,epoca_fructificacion,usos_tradicionales,note
672,POL-44F7C527-2024,Eichhornia crassipes,Lirio acuático,Su abundancia cambia drásticamente las condiciones de los humedales.,"Quizás esté buscando el género Victoria de la familia de las ninfáceas. El jacinto de agua, lirio acuático, flor de bora, buchón de agua, camalote, aguapey, lechuguín,​ tarope, tarulla, taruya o  reyna (Eichhornia crassipes)  es una planta acuática de la familia de las Pontederiaceae.","El jacinto de agua, lirio acuático, flor de bora, buchón de agua, camalote, aguapey, lechuguín,​ tarope, tarulla, taruya o  reyna (Eichhornia crassipes)  es una planta acuática de la familia de las Pontederiaceae.",,"Es usada como planta medicinal, fertilizante de suelos y decorativa.",
673,POL-049AB5B8-2024,Bursera simaruba,Chaká,"El palo mulato (Bursera simaruba), también conocido como chacaj,​ carate,​ indio desnudo, jiote, jiñocuabo, chaká, encuero o almácigo, es un árbol de la familia Burseraceae, nativo de regiones tropicales de América desde el sudeste de Estados Unidos (sur de Florida), México, América Central, Cuba, las Antillas, Brasil, Colombia y Venezuela.","El palo mulato (Bursera simaruba), también conocido como chacaj,​ carate,​ indio desnudo, jiote, jiñocuabo, chaká, encuero o almácigo, es un árbol de la familia Burseraceae, nativo de regiones tropicales de América desde el sudeste de Estados Unidos (sur de Florida), México, América Central, Cuba, las Antillas, Brasil, Colombia y Venezuela. Su tronco es resinoso y aromático, y su corteza rojiza o verdosa, la cual se desprende en capas.","El palo mulato (Bursera simaruba), también conocido como chacaj,​ carate,​ indio desnudo, jiote, jiñocuabo, chaká, encuero o almácigo, es un árbol de la familia Burseraceae, nativo de regiones tropicales de América desde el sudeste de Estados Unidos (sur de Florida), México, América Central, Cuba, las Antillas, Brasil, Colombia y Venezuela.",,,
674,POL-16B4072F-2023,Solanum lycopersicum,Tomate,,"Solanum lycopersicum, conocida comúnmente como tomate o tomatera es una especie de planta herbácea del género Solanum de la familia Solanaceae. Es una planta de importancia global por su uso como alimento.​ La planta es cultivada en el mundo entero para el consumo de su fruto, el tomate o jitomate, tanto fresco como procesado de diferentes maneras: salsa, puré, zumo, deshidratado, enlatado, etc.",,"Es una planta de importancia global por su uso como alimento.​ La planta es cultivada en el mundo entero para el consumo de su fruto, el tomate o jitomate, tanto fresco como procesado de diferentes maneras: salsa, puré, zumo, deshidratado, enlatado, etc.","Es una planta de importancia global por su uso como alimento.​ La planta es cultivada en el mundo entero para el consumo de su fruto, el tomate o jitomate, tanto fresco como procesado de diferentes maneras: salsa, puré, zumo, deshidratado, enlatado, etc.",
675,POL-F257FDFA-2023,Ocimum basilicum,Albahaca,"Ocimum basilicum es una hierba aromática anual de la familia de las lamiáceas nativa de las regiones tropicales de África Central y el sudeste asiático, que se cultiva desde hace milenios.​ Es una planta tierna y se utiliza en cocinas de todo el mundo.","Ocimum basilicum es una hierba aromática anual de la familia de las lamiáceas nativa de las regiones tropicales de África Central y el sudeste asiático, que se cultiva desde hace milenios.​ Es una planta tierna y se utiliza en cocinas de todo el mundo. Hay muchas variedades de Ocimum basilicum, así como varias especies relacionadas.","thyrsiflora), Ocimum × citriodorum y el tulsí.",,,
676,POL-5A0F72D3-2025,Delonix regia,Flaming,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.","Delonix regia, comúnmente llamado Chivato, Tabachín, Malinche, Árbol de Caballero, Árbol de fuego​, Ponciana Real,  flamboyant, flamboyán, Framboyán de Madagascar o Clavellino de Madagascar, entre otros nombres, es un árbol de la familia de las fabáceas. Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.","Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.",,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.",
677,POL-DD2E605C-2025,Delonix regia,Flaming,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.","Delonix regia, comúnmente llamado Chivato, Tabachín, Malinche, Árbol de Caballero, Árbol de fuego​, Ponciana Real,  flamboyant, flamboyán, Framboyán de Madagascar o Clavellino de Madagascar, entre otros nombres, es un árbol de la familia de las fabáceas. Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.","Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.",,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.",
678,POL-FC6707E2-2023,Thymus vulgaris,Tomillo,,"El tomillo común (Thymus vulgaris), también tomillo vulgar o simplemente tomillo es un arbusto de la familia de las labiadas ampliamente usado en gastronomía y medicina. Se caracteriza por sus aceites esenciales que producen un olor aromático agradable e intenso, con el que atrae a polinizadores de Diptera e Hymenoptera.​​ Entre las diversas propiedades medicinales que tiene el tomillo se pueden mencionar que es digestivo, antiséptico y vigorizante.​​
Se considera una de las «hierbas mediterráneas», un grupo de plantas aromáticas que se usan en las cocinas tradicionales del Mediterráneo, junto con el romero, el orégano, la mejorana, la albahaca, etcétera.​ El tomillo vulgar se ha adaptado a otros ecosistemas en América, África y Asia.​ No se debe confundir el tomillo vulgar con el tomillo limón (T.",,,"El tomillo común (Thymus vulgaris), también tomillo vulgar o simplemente tomillo es un arbusto de la familia de las labiadas ampliamente usado en gastronomía y medicina.",
679,POL-AFC547CB-2023,Zea mays,Maíz,,"El maíz (Zea mays) o choclo es una especie de planta gramínea originaria de Mesoamérica. Su infrutescencia femenina se llama mazorca, elote o choclo y allí crecen granos comestibles.",,"Su infrutescencia femenina se llama mazorca, elote o choclo y allí crecen granos comestibles.",,
680,POL-9BE9E712-2024,Ceiba pentandra,Ceiba,"En algunas zonas al árbol y la fibra que se obtiene de las semillas se les llama en inglés como kapok, nombre derivado del malayo que originalmente se aplicaba a Bombax ceiba, nativo de Asia tropical.​ Es originario de la región de Mesoamérica y se distribuye mundialmente por la zona intertropical.​​ Se cultiva en plantaciones para la obtención de fibra y aceite, así como también se utiliza de forma ornamental, en la reforestación y la carpintería.​","Ceiba pentandra, llamado comúnmente ceiba, ceibo, pochote, huimba, o yaxché,​ es un árbol de la familia Malvaceae​ (anteriormente perteneciente a la familia Bombacaceae). En algunas zonas al árbol y la fibra que se obtiene de las semillas se les llama en inglés como kapok, nombre derivado del malayo que originalmente se aplicaba a Bombax ceiba, nativo de Asia tropical.​ Es originario de la región de Mesoamérica y se distribuye mundialmente por la zona intertropical.​​ Se cultiva en plantaciones para la obtención de fibra y aceite, así como también se utiliza de forma ornamental, en la reforestación y la carpintería.​",,"En algunas zonas al árbol y la fibra que se obtiene de las semillas se les llama en inglés como kapok, nombre derivado del malayo que originalmente se aplicaba a Bombax ceiba, nativo de Asia tropical.​ Es originario de la región de Mesoamérica y se distribuye mundialmente por la zona intertropical.​​ Se cultiva en plantaciones para la obtención de fibra y aceite, así como también se utiliza de forma ornamental, en la reforestación y la carpintería.​","En algunas zonas al árbol y la fibra que se obtiene de las semillas se les llama en inglés como kapok, nombre derivado del malayo que originalmente se aplicaba a Bombax ceiba, nativo de Asia tropical.​ Es originario de la región de Mesoamérica y se distribuye mundialmente por la zona intertropical.​​ Se cultiva en plantaciones para la obtención de fibra y aceite, así como también se utiliza de forma ornamental, en la reforestación y la carpintería.​",
681,POL-71CA30CB-2024,Plumeria rubra,Flor de mayo,"Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.","Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.","Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.",,,
682,POL-660EF856-2025,Zea mays,Maíz,,"El maíz (Zea mays) o choclo es una especie de planta gramínea originaria de Mesoamérica. Su infrutescencia femenina se llama mazorca, elote o choclo y allí crecen granos comestibles.",,"Su infrutescencia femenina se llama mazorca, elote o choclo y allí crecen granos comestibles.",,
683,POL-B1789989-2025,Phaseolus vulgaris,Frijol,,"Phaseolus vulgaris es la especie más conocida del género Phaseolus en la familia Fabaceae. Sus semillas y, por extensión, la propia planta, reciben diversos nombres según la región; entre los más comunes están: alubia,​ judía, frijol,​ frísol,​ frejol,​ habichuela,​​ caraota,​ poroto,​​ etc.",,"Sus semillas y, por extensión, la propia planta, reciben diversos nombres según la región; entre los más comunes están: alubia,​ judía, frijol,​ frísol,​ frejol,​ habichuela,​​ caraota,​ poroto,​​ etc.",,
684,POL-15AD3370-2024,Piscidia piscipula,Jabín,"Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina. El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.",,El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.,
685,POL-2528F032-2025,Plumeria rubra,Flor de mayo,"Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.","Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.","Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.",,,
686,POL-048C8E7E-2024,Hibiscus rosa-sinensis,Hibisco,,"Hibiscus rosa-sinensis, llamado comúnmente rosa de China, cayena,  amapola, hibisco, gumamela, entre otros nombres,​ es un arbusto caducifolio de la familia de las malváceas, originario de Asia oriental.",,,,
687,POL-C8FAE333-2024,Heliconia spp.,Heliconia,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
688,POL-2158D3FE-2024,Attalea cohune,Cohune,,El corozo (Attalea cohune) es una palmera que se encuentra dentro de la familia Arecaceae.,,,,
689,POL-1F3FEC59-2025,Swietenia macrophylla,Caoba,"Swietenia macrophylla también llamado caoba de Honduras o caoba (o caobo) de hoja grande, 'aguano' y 'zopilote',​​ es una especie de árboles originaria de la zona intertropical americana perteneciente a la familia de las Meliaceae.","Swietenia macrophylla también llamado caoba de Honduras o caoba (o caobo) de hoja grande, 'aguano' y 'zopilote',​​ es una especie de árboles originaria de la zona intertropical americana perteneciente a la familia de las Meliaceae. Es cultivado como planta ornamental y por su madera que es muy cotizada y utilizada en ebanistería.​",,,Es cultivado como planta ornamental y por su madera que es muy cotizada y utilizada en ebanistería.​,
690,POL-DA09A10D-2025,Pistia stratiotes,Lechuga de agua,,Pistia stratiotes es la única especie del género monotípico Pistia. Esta planta acuática de la familia Araceae es llamada comúnmente repollito del agua o lechuga de agua.,,,,
691,POL-60A44F19-2024,Cucurbita pepo,Calabaza,,"Cucurbita pepo es el nombre científico de una especie de plantas cucurbitáceas originaria de Mesoamérica y sur de Estados Unidos, que junto con otras especies emparentadas (Cucurbita maxima, C. moschata, C.",,"argyrosperma) forman un grupo de especies de calabazas cuyas variedades cultivadas, de las que se cosecha su fruto maduro o inmaduro, poseen usos culinarios indistinguibles (son los zapallos, calabacines, zapallitos, zapallo italiano, auyamas, ahuyamas, pipianes, ayotes, zuquini, zucchini, etc).","argyrosperma) forman un grupo de especies de calabazas cuyas variedades cultivadas, de las que se cosecha su fruto maduro o inmaduro, poseen usos culinarios indistinguibles (son los zapallos, calabacines, zapallitos, zapallo italiano, auyamas, ahuyamas, pipianes, ayotes, zuquini, zucchini, etc).",
692,POL-E6BBA899-2022,Heliconia spp.,Heliconia,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
693,POL-27314B31-2024,Monstera deliciosa,Costilla de Adán,"Monstera deliciosa, llamada comúnmente cerimán o costilla de Adán, es una especie de planta trepadora de la familia Araceae, endémica de selvas tropicales, que se distribuye desde el centro y sur de México hasta el norte de Argentina.[cita requerida]","Monstera deliciosa, llamada comúnmente cerimán o costilla de Adán, es una especie de planta trepadora de la familia Araceae, endémica de selvas tropicales, que se distribuye desde el centro y sur de México hasta el norte de Argentina.[cita requerida]",,,,
694,POL-62A16A8E-2024,Zea mays,Maíz,,"El maíz (Zea mays) o choclo es una especie de planta gramínea originaria de Mesoamérica. Su infrutescencia femenina se llama mazorca, elote o choclo y allí crecen granos comestibles.",,"Su infrutescencia femenina se llama mazorca, elote o choclo y allí crecen granos comestibles.",,
695,POL-167F81D3-2022,Ipomoea batatas,Camote,,"Ipomoea batatas, llamada comúnmente batata,​ chaco,​ papa dulce, patata dulce,​ papa camote, camote,​ moniato,​ boniato,​ o apichu,​ es una planta de la familia Convolvulaceae, cultivada en gran parte del mundo por su raíz tuberosa comestible, de sabor dulce.",,,,
696,POL-3C8A56DA-2024,Conocarpus erectus,Mangle botoncillo,"El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia.","El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia. Es una de las dos especies de mangles pertenecientes al género Conocarpus.","El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia.",,,
697,POL-3D6D3F5F-2024,Zea mays,Maíz,,"El maíz (Zea mays) o choclo es una especie de planta gramínea originaria de Mesoamérica. Su infrutescencia femenina se llama mazorca, elote o choclo y allí crecen granos comestibles.",,"Su infrutescencia femenina se llama mazorca, elote o choclo y allí crecen granos comestibles.",,
698,POL-5378B609-2024,Monstera deliciosa,Costilla de Adán,"Monstera deliciosa, llamada comúnmente cerimán o costilla de Adán, es una especie de planta trepadora de la familia Araceae, endémica de selvas tropicales, que se distribuye desde el centro y sur de México hasta el norte de Argentina.[cita requerida]","Monstera deliciosa, llamada comúnmente cerimán o costilla de Adán, es una especie de planta trepadora de la familia Araceae, endémica de selvas tropicales, que se distribuye desde el centro y sur de México hasta el norte de Argentina.[cita requerida]",,,,
699,POL-685A49D3-2024,Astrocaryum mexicanum,Chocho,,Astrocaryum mexicanum es una especie de planta de la familia de las palmeras (Arecaceae). Astrocaryum mexicanum fue descrita por Liebm.,,,,
700,POL-B1832058-2024,Astrocaryum mexicanum,Chocho,,Astrocaryum mexicanum es una especie de planta de la familia de las palmeras (Arecaceae). Astrocaryum mexicanum fue descrita por Liebm.,,,,
701,POL-E9BA3C55-2024,Piscidia piscipula,Jabín,"Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina. El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.",,El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.,
702,POL-174076A0-2023,Philodendron spp.,Filodendro,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
703,POL-701B52E7-2024,Sabal mexicana,Palma real,,"Sabal mexicana, llamado comúnmente palmito mexicano o palma de petate,​ es una especie de la familia de las  Arecaceae nativa de Norteamérica. Está estrechamente emparentado con Sabal guatemalensis, y las dos especies pueden ser sinónimos.​​",,,,
704,POL-A8EFC13C-2025,Ficus spp.,Higo,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
705,POL-95D48721-2025,Ficus spp.,Higo,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
706,POL-0873BE34-2024,Cordia dodecandra,Siricote,,"El siricote o ciricote (Cordia dodecandra)​es un árbol de la familia de las Boraginaceas, originario del sur de México, Guatemala y Belice. Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.",Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.,"Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​","Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​",
707,POL-C9CEDDCD-2024,Tabebuia rosea,Maculís,"Tabebuia rosea, llamado comúnmente tajibo, apamate, mocoque,  matilisguate en Guatemala, maculís, macuilís, macuelizo, maquilishuat, guayacán rosado o  roble de sabana , es un árbol de la familia de las bignonáceas.​ Es nativo de México, Guatemala, El Salvador  y otras regiones de Centroamérica, llegando a Colombia (Villeta, Cundinamarca), Panamá, Venezuela y Perú.","Tabebuia rosea, llamado comúnmente tajibo, apamate, mocoque,  matilisguate en Guatemala, maculís, macuilís, macuelizo, maquilishuat, guayacán rosado o  roble de sabana , es un árbol de la familia de las bignonáceas.​ Es nativo de México, Guatemala, El Salvador  y otras regiones de Centroamérica, llegando a Colombia (Villeta, Cundinamarca), Panamá, Venezuela y Perú. Es el árbol nacional de El Salvador,​ Se utiliza como árbol ornamental en parques, plazas y avenidas; y por su madera usada en ebanistería.​",,,"Es el árbol nacional de El Salvador,​ Se utiliza como árbol ornamental en parques, plazas y avenidas; y por su madera usada en ebanistería.​",
708,POL-61DA8404-2024,Ipomoea batatas,Camote,,"Ipomoea batatas, llamada comúnmente batata,​ chaco,​ papa dulce, patata dulce,​ papa camote, camote,​ moniato,​ boniato,​ o apichu,​ es una planta de la familia Convolvulaceae, cultivada en gran parte del mundo por su raíz tuberosa comestible, de sabor dulce.",,,,
709,POL-0B7D17E3-2023,Conocarpus erectus,Mangle botoncillo,"El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia.","El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia. Es una de las dos especies de mangles pertenecientes al género Conocarpus.","El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia.",,,
